epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.855,1.72377,10.178,0.014,0.20455,0.19695,0.13171,0.05886,1.84602,2.89136,0.01888,0.000414474,0.000414474,0.000414474
2,222.544,1.82319,2.74483,0.01479,0.18057,0.22288,0.15444,0.06493,1.96384,2.41991,0.0209,0.000827026,0.000827026,0.000827026
3,321.795,1.83544,2.53199,0.0154,0.45147,0.22304,0.17661,0.07592,1.88643,2.41771,0.01939,0.00123545,0.00123545,0.00123545
4,420.601,1.84558,2.39452,0.01506,0.28319,0.29069,0.22199,0.09896,1.87272,2.32118,0.01974,0.00123144,0.00123144,0.00123144
5,519.126,1.79653,2.19791,0.01437,0.30891,0.23568,0.20006,0.0889,1.86528,2.44723,0.01903,0.00122525,0.00122525,0.00122525
6,617.426,1.79168,2.14348,0.01421,0.27744,0.3738,0.25649,0.11646,1.81423,1.95892,0.01814,0.00121906,0.00121906,0.00121906
7,715.913,1.76557,2.04607,0.01418,0.29684,0.31566,0.24824,0.11565,1.84241,2.2374,0.01892,0.00121287,0.00121287,0.00121287
8,814.442,1.75455,2.01494,0.01361,0.37526,0.35252,0.3151,0.14894,1.78944,1.78986,0.01805,0.00120669,0.00120669,0.00120669
9,912.808,1.75538,1.98468,0.01412,0.39038,0.37717,0.34206,0.16193,1.79531,1.81385,0.01849,0.0012005,0.0012005,0.0012005
10,1011.14,1.74452,1.91987,0.0143,0.40716,0.49042,0.38662,0.18625,1.73993,1.60605,0.01751,0.00119431,0.00119431,0.00119431
11,1109.64,1.70671,1.8733,0.01352,0.46581,0.41508,0.38261,0.18723,1.77498,1.86542,0.01792,0.00118812,0.00118812,0.00118812
12,1208.14,1.69153,1.81681,0.01348,0.43438,0.50644,0.46083,0.22516,1.7538,1.65418,0.01741,0.00118194,0.00118194,0.00118194
13,1306.9,1.67105,1.76998,0.01285,0.49787,0.5132,0.48377,0.23798,1.71604,1.62013,0.01682,0.00117575,0.00117575,0.00117575
14,1405.61,1.65782,1.70831,0.01263,0.54368,0.47434,0.47201,0.24405,1.6973,1.62353,0.01693,0.00116956,0.00116956,0.00116956
15,1504.09,1.64664,1.69448,0.01334,0.49794,0.46733,0.45668,0.22713,1.68881,1.56228,0.01695,0.00116337,0.00116337,0.00116337
16,1602.61,1.6808,1.73064,0.01317,0.5701,0.54641,0.54404,0.28303,1.66285,1.48361,0.01642,0.00115719,0.00115719,0.00115719
17,1701.28,1.6106,1.6013,0.01272,0.56491,0.52078,0.52791,0.27452,1.66866,1.51201,0.01656,0.001151,0.001151,0.001151
18,1799.8,1.62846,1.62617,0.01284,0.62604,0.55558,0.5809,0.30978,1.61825,1.52271,0.01593,0.00114481,0.00114481,0.00114481
19,1898.55,1.59275,1.57229,0.01249,0.64826,0.58973,0.63558,0.33684,1.6058,1.27472,0.01574,0.00113863,0.00113863,0.00113863
20,1997.33,1.60507,1.54432,0.01246,0.62518,0.56974,0.59933,0.31041,1.65501,1.2992,0.01631,0.00113244,0.00113244,0.00113244
21,2096.32,1.6219,1.54691,0.01246,0.64821,0.62016,0.65218,0.34623,1.58729,1.29099,0.01566,0.00112625,0.00112625,0.00112625
22,2194.8,1.57827,1.45528,0.01271,0.66099,0.62702,0.66537,0.34691,1.61008,1.22775,0.01572,0.00112006,0.00112006,0.00112006
23,2293.62,1.58264,1.46968,0.01236,0.62454,0.64661,0.64958,0.34193,1.56725,1.29827,0.01538,0.00111388,0.00111388,0.00111388
24,2392.27,1.57808,1.44656,0.01237,0.7132,0.6278,0.67637,0.36496,1.61287,1.23659,0.01566,0.00110769,0.00110769,0.00110769
25,2491.29,1.57639,1.37758,0.01247,0.63776,0.57768,0.61921,0.32439,1.59759,1.36586,0.01604,0.0011015,0.0011015,0.0011015
26,2590.44,1.54879,1.41225,0.01224,0.68711,0.62419,0.67882,0.37262,1.56176,1.14955,0.01532,0.00109531,0.00109531,0.00109531
27,2689.25,1.52871,1.36676,0.01218,0.70842,0.68128,0.73126,0.40077,1.57206,1.09251,0.01545,0.00108913,0.00108913,0.00108913
